week,dates,channel,product,topic,goal,format,rationale,Rationale
3,2025-10-13–2025-10-19,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Лояльность,AR-фильтр,"Неделя 3 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
4,2025-10-20–2025-10-26,Partners,BIFOLAK_MAGNIY,Совместная полка: POS и QR,Продажи,POS,"Неделя 4 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
4,2025-10-20–2025-10-26,Youtube,DERMACOMPLEX,Biotact Inside: 5 минут простым языком,Осведомленность,Видео,"Неделя 4 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
4,2025-10-20–2025-10-26,Podcast,OPHTALMOCOMPLEX,Q&A с экспертом (10 мин),Доверие,Выпуск 10–12 мин,"Неделя 4 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
4,2025-10-20–2025-10-26,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Лояльность,AR-фильтр,"Неделя 4 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
4,2025-10-20–2025-10-26,Instagram,IMMUNOCOMPLEX,Пост: миф vs факт,Продажи,Пост,"Неделя 4 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
5,2025-10-27–2025-11-02,Youtube,DERMACOMPLEX,Biotact Inside: 5 минут простым языком,Осведомленность,Видео,"Неделя 5 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
5,2025-10-27–2025-11-02,Podcast,OPHTALMOCOMPLEX,Q&A с экспертом (10 мин),Доверие,Выпуск 10–12 мин,"Неделя 5 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
5,2025-10-27–2025-11-02,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Лояльность,AR-фильтр,"Неделя 5 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
5,2025-10-27–2025-11-02,Instagram,IMMUNOCOMPLEX,Пост: миф vs факт,Продажи,Пост,"Неделя 5 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
5,2025-10-27–2025-11-02,Site,IMMUNOCOMPLEX_KIDS,Статья: сезонные советы,Осведомленность,Статья,"Неделя 5 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
6,2025-11-03–2025-11-09,Podcast,OPHTALMOCOMPLEX,Q&A с экспертом (10 мин),Доверие,Выпуск 10–12 мин,"Неделя 6 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
6,2025-11-03–2025-11-09,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Лояльность,AR-фильтр,"Неделя 6 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
6,2025-11-03–2025-11-09,Instagram,IMMUNOCOMPLEX,Пост: миф vs факт,Продажи,Пост,"Неделя 6 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
6,2025-11-03–2025-11-09,Site,IMMUNOCOMPLEX_KIDS,Статья: сезонные советы,Осведомленность,Статья,"Неделя 6 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
6,2025-11-03–2025-11-09,Email,BIFOLAK_ZINCUM_C_D3,Персонализированная рассылка + bundle,Доверие,Рассылка,"Неделя 6 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
7,2025-11-10–2025-11-16,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Лояльность,AR-фильтр,"Неделя 7 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
7,2025-11-10–2025-11-16,Instagram,IMMUNOCOMPLEX,Пост: миф vs факт,Продажи,Пост,"Неделя 7 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
7,2025-11-10–2025-11-16,Site,IMMUNOCOMPLEX_KIDS,Статья: сезонные советы,Осведомленность,Статья,"Неделя 7 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
7,2025-11-10–2025-11-16,Email,BIFOLAK_ZINCUM_C_D3,Персонализированная рассылка + bundle,Доверие,Рассылка,"Неделя 7 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
7,2025-11-10–2025-11-16,Partners,BIFOLAK_MAGNIY,POS-видео/плакат + QR,Лояльность,POS,"Неделя 7 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
8,2025-11-17–2025-11-23,Instagram,IMMUNOCOMPLEX,Пост: миф vs факт,Продажи,Пост,"Неделя 8 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
8,2025-11-17–2025-11-23,Site,IMMUNOCOMPLEX_KIDS,Статья: сезонные советы,Осведомленность,Статья,"Неделя 8 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
8,2025-11-17–2025-11-23,Email,BIFOLAK_ZINCUM_C_D3,Персонализированная рассылка + bundle,Доверие,Рассылка,"Неделя 8 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
8,2025-11-17–2025-11-23,Partners,BIFOLAK_MAGNIY,POS-видео/плакат + QR,Лояльность,POS,"Неделя 8 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
8,2025-11-17–2025-11-23,Youtube,DERMACOMPLEX,Demo/How-to 4–6 мин,Продажи,Видео,"Неделя 8 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
9,2025-11-24–2025-11-30,Site,IMMUNOCOMPLEX_KIDS,Статья: сезонные советы,Осведомленность,Статья,"Неделя 9 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
9,2025-11-24–2025-11-30,Email,BIFOLAK_ZINCUM_C_D3,Персонализированная рассылка + bundle,Доверие,Рассылка,"Неделя 9 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
9,2025-11-24–2025-11-30,Partners,BIFOLAK_MAGNIY,POS-видео/плакат + QR,Лояльность,POS,"Неделя 9 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
9,2025-11-24–2025-11-30,Youtube,DERMACOMPLEX,Demo/How-to 4–6 мин,Продажи,Видео,"Неделя 9 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
9,2025-11-24–2025-11-30,Podcast,OPHTALMOCOMPLEX,Inside Talk: мини-выпуск 10–12 мин,Осведомленность,Выпуск 10–12 мин,"Неделя 9 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
10,2025-12-01–2025-12-07,Email,BIFOLAK_ZINCUM_C_D3,Персонализированная рассылка + bundle,Доверие,Рассылка,"Неделя 10 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
10,2025-12-01–2025-12-07,Partners,BIFOLAK_MAGNIY,POS-видео/плакат + QR,Лояльность,POS,"Неделя 10 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
10,2025-12-01–2025-12-07,Youtube,DERMACOMPLEX,Demo/How-to 4–6 мин,Продажи,Видео,"Неделя 10 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
10,2025-12-01–2025-12-07,Podcast,OPHTALMOCOMPLEX,Inside Talk: мини-выпуск 10–12 мин,Осведомленность,Выпуск 10–12 мин,"Неделя 10 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
10,2025-12-01–2025-12-07,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Доверие,AR-фильтр,"Неделя 10 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
11,2025-12-08–2025-12-14,Partners,BIFOLAK_MAGNIY,POS-видео/плакат + QR,Лояльность,POS,"Неделя 11 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
11,2025-12-08–2025-12-14,Youtube,DERMACOMPLEX,Demo/How-to 4–6 мин,Продажи,Видео,"Неделя 11 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
11,2025-12-08–2025-12-14,Podcast,OPHTALMOCOMPLEX,Inside Talk: мини-выпуск 10–12 мин,Осведомленность,Выпуск 10–12 мин,"Неделя 11 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
11,2025-12-08–2025-12-14,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Доверие,AR-фильтр,"Неделя 11 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
11,2025-12-08–2025-12-14,Instagram,IMMUNOCOMPLEX,UGC: отзыв/история недели,Лояльность,Пост,"Неделя 11 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
12,2025-12-15–2025-12-21,Youtube,DERMACOMPLEX,Demo/How-to 4–6 мин,Продажи,Видео,"Неделя 12 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
12,2025-12-15–2025-12-21,Podcast,OPHTALMOCOMPLEX,Inside Talk: мини-выпуск 10–12 мин,Осведомленность,Выпуск 10–12 мин,"Неделя 12 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
12,2025-12-15–2025-12-21,AR,CALCIY_TRIACTIVE_D3,AR-фильтр/скан баночки,Доверие,AR-фильтр,"Неделя 12 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
12,2025-12-15–2025-12-21,Instagram,IMMUNOCOMPLEX,UGC: отзыв/история недели,Лояльность,Пост,"Неделя 12 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
12,2025-12-15–2025-12-21,Site,IMMUNOCOMPLEX_KIDS,Гайд/Чек-лист,Продажи,Статья,"Неделя 12 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
